time,cog_index,correct_in_db,total_in_db,correct_in_GA,total_in_GA,precision
0,-1,0,0,0,0,0.0000
454,-1,0,0,0,3,0.0000
890,-1,0,0,0,0,0.0000
1333,-1,0,0,0,0,0.0000
1769,-1,0,0,0,0,0.0000
2208,-1,0,0,0,0,0.0000
2649,-1,0,0,0,0,0.0000
3082,-1,0,0,0,0,0.0000
3519,-1,0,0,0,0,0.0000
3955,-1,0,0,0,0,0.0000
4396,-1,0,0,0,0,0.0000
4828,-1,0,0,0,0,0.0000
5263,-1,0,0,0,0,0.0000
5710,-1,0,0,0,0,0.0000
6144,-1,0,0,0,0,0.0000
6587,-1,0,0,0,0,0.0000
7022,-1,0,0,0,0,0.0000
7469,-1,0,0,0,0,0.0000
7897,-1,0,0,0,0,0.0000
8339,-1,0,0,0,0,0.0000
8774,-1,0,0,0,0,0.0000
9213,-1,0,0,0,0,0.0000
9652,-1,0,0,0,0,0.0000
10086,-1,0,0,0,0,0.0000
10530,-1,0,0,0,0,0.0000
10975,-1,0,0,0,0,0.0000
11415,-1,0,0,0,0,0.0000
11848,-1,0,0,0,0,0.0000
12285,-1,0,0,0,0,0.0000
12727,-1,0,0,0,0,0.0000
13161,-1,0,0,0,0,0.0000
13606,-1,0,0,0,0,0.0000
14040,-1,0,0,0,0,0.0000
14489,-1,0,0,0,0,0.0000
14923,-1,0,0,0,0,0.0000
15361,-1,0,0,0,0,0.0000
15794,-1,0,0,0,0,0.0000
16236,-1,0,0,0,0,0.0000
16685,-1,0,0,0,0,0.0000
17119,-1,0,0,0,0,0.0000
17560,-1,0,0,0,0,0.0000
18002,-1,0,0,0,0,0.0000
18441,-1,0,0,0,0,0.0000
18875,-1,0,0,0,0,0.0000
19316,-1,0,0,0,0,0.0000
19755,-1,0,0,0,0,0.0000
20188,-1,1,1,1,1,1.0000
20635,-1,1,1,1,1,1.0000
21068,-1,1,1,1,1,1.0000
21514,-1,1,1,1,1,1.0000
21962,-1,1,1,1,1,1.0000
22402,-1,1,1,1,1,1.0000
22840,-1,2,2,1,1,1.0000
23287,-1,2,2,1,1,1.0000
23877,-1,2,2,1,1,1.0000
24388,-1,2,2,1,1,1.0000
24886,-1,4,4,2,2,1.0000
25409,-1,4,4,2,2,1.0000
25911,-1,4,4,2,2,1.0000
26492,-1,4,4,2,2,1.0000
27021,-1,4,4,2,2,1.0000
27548,-1,5,5,2,2,1.0000
28071,-1,5,5,2,2,1.0000
28694,-1,5,5,2,2,1.0000
29252,-1,6,6,2,2,1.0000
29779,-1,6,6,2,2,1.0000
30292,-1,6,6,2,2,1.0000
30798,-1,6,6,2,2,1.0000
31302,-1,6,6,2,2,1.0000
31840,-1,6,6,5,5,1.0000
32373,-1,6,7,5,5,1.0000
32914,-1,6,7,5,5,1.0000
33432,-1,6,7,5,5,1.0000
33950,-1,7,8,6,6,1.0000
34467,-1,7,8,6,6,1.0000
34996,-1,7,8,6,6,1.0000
35498,-1,7,8,6,6,1.0000
36010,-1,7,8,6,6,1.0000
36518,-1,7,8,6,6,1.0000
37027,-1,7,8,6,6,1.0000
37541,-1,7,8,6,6,1.0000
38063,-1,7,8,6,6,1.0000
38579,-1,7,8,6,6,1.0000
39093,-1,7,8,7,7,1.0000
